"schoolid","lowinc","childid","sex","grade","math"
"2040",83.1,"303663601","Male",0,-2.535
"2040",83.1,"303663601","Male",1,-0.785
"2040",83.1,"303663601","Male",2,0.343
"2040",83.1,"303663601","Male",3,0.573
"2040",83.1,"303663601","Male",4,1.302
"2040",83.1,"303668751","Male",0,-1.276
"2040",83.1,"303668751","Male",1,0.338
"2040",83.1,"303668751","Male",2,0.852
"2040",83.1,"303668751","Male",3,0.128
"2040",83.1,"303668751","Male",4,2.3
"2040",83.1,"303671891","Male",0,-3.232
"2040",83.1,"303671891","Male",0,-2.225
"2040",83.1,"303671891","Male",1,-0.988
"2040",83.1,"303671891","Male",2,-1.236
"2040",83.1,"303671891","Male",3,0.021
"2040",83.1,"303672001","Female",0,-1.13
"2040",83.1,"303672001","Female",1,-0.427
"2040",83.1,"303672001","Female",2,0.995
"2040",83.1,"303672861","Female",0,-2.377
"2040",83.1,"303672861","Female",1,-0.427
"2040",83.1,"303672861","Female",2,0.995
"2040",83.1,"303673321","Male",0,-2.377
"2040",83.1,"303673321","Male",2,-1.236
"2040",83.1,"303673321","Male",3,-0.725
"2040",83.1,"303673321","Male",4,0.65
"2180",96.6,"245048322","Female",2,-0.623
"2180",96.6,"245048322","Female",3,0.516
"2180",96.6,"245048322","Female",4,0.551
"2180",96.6,"257495101","Male",0,-1.898
"2180",96.6,"257495101","Male",1,-0.351
"2180",96.6,"257495101","Male",2,0.343
"2180",96.6,"257495101","Male",3,0.573
"2180",96.6,"257495101","Male",4,1.302
"2180",96.6,"267638781","Female",0,-0.221
"2180",96.6,"267638781","Female",1,-0.351
"2180",96.6,"267638781","Female",2,0.227
"2180",96.6,"267638781","Female",3,0.128
"2180",96.6,"267638781","Female",4,1.199
"2180",96.6,"272929842","Male",2,0.852
"2180",96.6,"272929842","Male",3,0.573
"2180",96.6,"272929842","Male",4,1.736
"2180",96.6,"274924871","Female",0,-4.096
"2180",96.6,"274924871","Female",0,-2.097
"2180",96.6,"274924871","Female",1,-2.136
"2180",96.6,"285387072","Female",2,-1.894
"2180",96.6,"285387072","Female",3,-0.403
"2180",96.6,"285387072","Female",4,0.452
"2180",96.6,"285580822","Male",1,-0.988
"2180",96.6,"285580822","Male",2,-0.725
"2180",96.6,"285580822","Male",3,0.074
"2180",96.6,"285580822","Male",4,0.749
"2180",96.6,"292777881","Male",0,-2.225
"2180",96.6,"292777881","Male",1,-1.568
"2180",96.6,"292777881","Male",2,-0.522
"2180",96.6,"292777881","Male",3,0.292
"2180",96.6,"292777881","Male",4,1.354
"2180",96.6,"292779072","Male",1,-1.568
"2180",96.6,"292779072","Male",2,-0.725
"2180",96.6,"292779072","Male",3,0.237
"2180",96.6,"292779072","Male",4,0.947
"2180",96.6,"292780081","Male",0,-2.162
"2180",96.6,"292780081","Male",1,-1.568
"2180",96.6,"292780081","Male",2,-1.555
"2180",96.6,"292780321","Male",0,-1.038
"2180",96.6,"292780321","Male",1,-0.351
"2180",96.6,"292780321","Male",2,-0.316
"2180",96.6,"292780321","Male",3,0.573
"2180",96.6,"292780321","Male",4,1.407
"2180",96.6,"292780401","Male",0,-4.258
"2180",96.6,"292780401","Male",0,-2.535
"2180",96.6,"292780401","Male",1,-2.053
"2180",96.6,"292780401","Male",2,-2.64
"2180",96.6,"292780401","Male",3,-1.229
"2180",96.6,"292781561","Male",0,-1.218
"2180",96.6,"292781561","Male",1,-0.351
"2180",96.6,"292781561","Male",2,0.587
"2180",96.6,"292783851","Female",0,-3.021
"2180",96.6,"292783851","Female",1,-0.194
"2180",96.6,"292783851","Female",2,-1.555
"2180",96.6,"292783851","Female",3,0.237
"2180",96.6,"292783851","Female",4,1.199
"2180",96.6,"292785041","Female",0,-4.096
"2180",96.6,"292785041","Female",0,-1.76
"2180",96.6,"292785041","Female",1,-1.185
"2180",96.6,"292785041","Female",2,-1.132
"2180",96.6,"292785981","Male",0,-2.474
"2180",96.6,"292785981","Male",1,-2.528
"2180",96.6,"292785981","Male",2,-2.406
"2180",96.6,"292785981","Male",3,-1.235
"2180",96.6,"292785981","Male",4,-0.835
"2180",96.6,"292786951","Male",0,-1.966
"2180",96.6,"292786951","Male",1,-1.12
"2180",96.6,"292786951","Male",2,0.003
"2180",96.6,"292786951","Male",3,0.292
"2180",96.6,"292786951","Male",4,1.46
"2180",96.6,"292789111","Female",0,-1.83
"2180",96.6,"292789111","Female",0,-1.898
"2180",96.6,"292789111","Female",1,-1.295
"2180",96.6,"292789111","Female",2,-0.702
"2180",96.6,"292789111","Female",3,-0.703
"2180",96.6,"292789461","Female",0,-3.525
"2180",96.6,"292789461","Female",0,-0.365
"2180",96.6,"292789461","Female",1,-0.574
"2180",96.6,"292791601","Female",0,0.893
"2180",96.6,"292791601","Female",1,0.546
"2180",96.6,"292791601","Female",2,1.485
"2180",96.6,"292791601","Female",3,1.134
"2180",96.6,"292791601","Female",4,1.623
"2180",96.6,"292792411","Female",0,-3.144
"2180",96.6,"292792411","Female",0,-2.162
"2180",96.6,"292792411","Female",1,-2.053
"2180",96.6,"292792411","Female",2,0.22
"2180",96.6,"292792411","Female",3,0.811
"2180",96.6,"292793731","Female",0,-1.541
"2180",96.6,"292793731","Female",1,-2.461
"2180",96.6,"292793731","Female",2,-1.555
"2180",96.6,"292793731","Female",3,-0.616
"2180",96.6,"292793731","Female",4,0.749
"2180",96.6,"292794382","Female",1,0.658
"2180",96.6,"292794382","Female",2,0.003
"2180",96.6,"292794382","Female",3,0.873
"2180",96.6,"292794382","Female",4,0.848
"2180",96.6,"292795191","Female",0,-1.83
"2180",96.6,"292795191","Female",1,-2.136
"2180",96.6,"292795191","Female",2,-1.236
"2180",96.6,"292795191","Female",3,0.292
"2180",96.6,"292795191","Female",4,-0.116
"2180",96.6,"296340762","Female",1,-1.934
"2180",96.6,"296340762","Female",2,-0.823
"2180",96.6,"296340762","Female",3,-0.264
"2180",96.6,"296476662","Male",1,-1.757
"2180",96.6,"296476662","Male",2,-1.732
"2180",96.6,"296476662","Male",3,-0.759
"2180",96.6,"301942171","Male",0,-2.96
"2180",96.6,"301942171","Male",0,-2.032
"2180",96.6,"301942171","Male",1,-1.468
"2180",96.6,"301942171","Male",2,-1.608
"2180",96.6,"301942171","Male",4,-1.229
"2180",96.6,"301943061","Male",0,-3.46
"2180",96.6,"301943061","Male",0,-2.474
"2180",96.6,"301943061","Male",1,-1.295
"2180",96.6,"301943061","Male",2,-1.303
"2180",96.6,"301943061","Male",3,-0.264
"2180",96.6,"301943491","Female",0,-2.097
"2180",96.6,"301943491","Female",1,-2.009
"2180",96.6,"301943491","Female",2,-1.236
"2180",96.6,"301950511","Male",0,-2.032
"2180",96.6,"301950511","Male",1,-1.568
"2180",96.6,"301950511","Male",2,-1.778
"2180",96.6,"301950511","Male",3,-0.945
"2180",96.6,"301950511","Male",4,-0.975
"2180",96.6,"301952481","Male",0,-2.596
"2180",96.6,"301952481","Male",1,-2.873
"2180",96.6,"301952481","Male",2,-1.778
"2180",96.6,"301952481","Male",3,-1.296
"2180",96.6,"301952481","Male",4,0.352
"2180",96.6,"301952721","Male",0,-2.657
"2180",96.6,"301952721","Male",1,-2.136
"2180",96.6,"301952721","Male",2,-0.725
"2180",96.6,"301953961","Male",0,-0.221
"2180",96.6,"301953961","Male",1,-0.785
"2180",96.6,"301953961","Male",2,0.995
"2180",96.6,"302132542","Male",1,-0.365
"2180",96.6,"302132542","Male",2,0.003
"2180",96.6,"302132542","Male",3,0.751
"2180",96.6,"302132542","Male",4,0.848
"2180",96.6,"303478033","Male",2,0.343
"2180",96.6,"303478033","Male",3,1.498
"2180",96.6,"303478033","Male",4,2.231
"2180",96.6,"304796611","Female",0,-0.733
"2180",96.6,"304796611","Female",1,-0.194
"2180",96.6,"304796611","Female",2,0.716
"2180",96.6,"304796611","Female",3,0.691
"2180",96.6,"308819582","Male",1,-2.009
"2180",96.6,"308819582","Male",2,-1.665
"2180",96.6,"308819582","Male",3,-0.456
"2180",96.6,"308819582","Male",4,0.352
"2180",96.6,"308845071","Female",0,-1.898
"2180",96.6,"308845071","Female",1,1.194
"2180",96.6,"308845071","Female",2,0.343
"2180",96.6,"314334872","Male",1,-1.054
"2180",96.6,"314334872","Male",2,-0.522
"2180",96.6,"314334872","Male",3,0.573
"2180",96.6,"314334872","Male",4,1.514
"2180",96.6,"316222631","Male",0,-1.898
"2180",96.6,"316222631","Male",1,-1.694
"2180",96.6,"316222631","Male",2,-1.665
"2180",96.6,"316222631","Male",3,-0.244
"2180",96.6,"316225061","Female",0,-2.097
"2180",96.6,"316225061","Female",0,-2.225
"2180",96.6,"316225061","Female",1,-2.235
"2180",96.6,"316225061","Female",2,-0.762
"2180",96.6,"316225061","Female",3,-0.873
"2330",78.9,"200373691","Female",0,-1.616
"2330",78.9,"200373691","Female",1,-1.83
"2330",78.9,"200373691","Female",2,-1.132
"2330",78.9,"200373691","Female",3,-0.616
"2330",78.9,"200373691","Female",4,-0.062
"2330",78.9,"266889302","Male",1,-2.395
"2330",78.9,"266889302","Male",2,0.003
"2330",78.9,"266889302","Male",3,-1.42
"2330",78.9,"266889302","Male",4,-0.225
"2330",78.9,"278630191","Female",0,-2.413
"2330",78.9,"278630191","Female",0,-1.384
"2330",78.9,"278630191","Female",1,-0.427
"2330",78.9,"278630191","Female",2,0.114
"2330",78.9,"278630191","Female",3,0.573
"2330",78.9,"278630191","Female",4,1.047
"2330",78.9,"281014733","Male",2,-1.894
"2330",78.9,"281014733","Male",3,-1.235
"2330",78.9,"281014733","Male",4,0.044
"2330",78.9,"284231521","Male",0,-2.162
"2330",78.9,"284231521","Male",1,-2.136
"2330",78.9,"284231521","Male",2,-0.522
"2330",78.9,"284231521","Male",3,0.632
"2330",78.9,"284231521","Male",4,1.25
"2330",78.9,"288950542","Female",2,0.716
"2330",78.9,"288950542","Female",3,0.237
"2330",78.9,"288950542","Female",4,0.897
"2330",78.9,"289370593","Male",2,2.14
"2330",78.9,"289370593","Male",3,-0.403
"2330",78.9,"289370593","Male",4,1.148
"2330",78.9,"289764962","Female",2,0.587
"2330",78.9,"289764962","Female",3,0.237
"2330",78.9,"289764962","Female",4,2.231
"2330",78.9,"291310822","Male",1,-1.12
"2330",78.9,"291310822","Male",2,0.852
"2330",78.9,"291310822","Male",3,-0.086
"2330",78.9,"292291473","Female",2,-0.316
"2330",78.9,"292291473","Female",3,0.751
"2330",78.9,"292291473","Female",4,1.623
"2330",78.9,"295884063","Female",2,-1.236
"2330",78.9,"295884063","Female",3,-0.779
"2330",78.9,"295884063","Female",4,0.501
"2330",78.9,"296738882","Male",1,-0.351
"2330",78.9,"296738882","Male",2,1.146
"2330",78.9,"296738882","Male",3,1.578
"2330",78.9,"296738882","Male",4,2.682
"2330",78.9,"300521962","Male",1,0.241
"2330",78.9,"300521962","Male",2,1.146
"2330",78.9,"300521962","Male",3,1.346
"2330",78.9,"300521962","Male",4,2.371
"2330",78.9,"300633091","Male",0,-1.541
"2330",78.9,"300633091","Male",1,-0.574
"2330",78.9,"300633091","Male",2,-0.928
"2330",78.9,"300633091","Male",3,-0.456
"2330",78.9,"300633091","Male",4,-0.008
"2330",78.9,"300633681","Male",0,-1.83
"2330",78.9,"300633681","Male",1,-0.645
"2330",78.9,"300633681","Male",2,0.003
"2330",78.9,"300633681","Male",3,1.421
"2330",78.9,"300633681","Male",4,1.623
"2330",78.9,"300634493","Male",2,0.995
"2330",78.9,"300634493","Male",3,0.811
"2330",78.9,"300634493","Male",4,2.3
"2330",78.9,"300637081","Female",0,-2.899
"2330",78.9,"300637081","Female",1,-1.25
"2330",78.9,"300637081","Female",2,1.309
"2330",78.9,"300637081","Female",3,1.273
"2330",78.9,"300637591","Female",0,-0.619
"2330",78.9,"300637591","Female",1,0.546
"2330",78.9,"300637591","Female",2,1.894
"2330",78.9,"300637591","Female",3,2.034
"2330",78.9,"300637591","Female",4,3.055
"2330",78.9,"300641941","Male",0,-3.558
"2330",78.9,"300641941","Male",0,-1.76
"2330",78.9,"300641941","Male",1,-0.574
"2330",78.9,"300641941","Male",2,0.716
"2330",78.9,"300641941","Male",3,-0.456
"2330",78.9,"300641941","Male",4,0.749
"2330",78.9,"300643211","Female",0,-1.616
"2330",78.9,"300643211","Female",1,-0.645
"2330",78.9,"300643211","Female",2,-0.522
"2330",78.9,"300643211","Female",3,0.292
"2330",78.9,"300643211","Female",4,1.679
"2330",78.9,"300643561","Female",0,-1.76
"2330",78.9,"300643561","Female",1,-0.988
"2330",78.9,"300643561","Female",2,-0.826
"2330",78.9,"300643561","Female",3,0.128
"2330",78.9,"300643561","Female",4,0.65
"2330",78.9,"300645261","Male",0,-2.288
"2330",78.9,"300645261","Male",0,-1.689
"2330",78.9,"300645261","Male",1,-2.009
"2330",78.9,"300645261","Male",2,-0.419
"2330",78.9,"300645261","Male",3,-0.456
"2330",78.9,"300645261","Male",4,0.2
"2330",78.9,"300645851","Female",0,-2.596
"2330",78.9,"300645851","Female",1,-1.441
"2330",78.9,"300645851","Female",2,-0.725
"2330",78.9,"300646741","Female",0,-2.288
"2330",78.9,"300646741","Female",1,-0.988
"2330",78.9,"300646741","Female",2,0.587
"2330",78.9,"300646741","Female",3,-0.192
"2330",78.9,"300646741","Female",4,0.848
"2330",78.9,"300648011","Female",0,-2.097
"2330",78.9,"300648011","Female",1,-1.12
"2330",78.9,"300648011","Female",2,-0.419
"2330",78.9,"300648011","Female",3,-0.456
"2330",78.9,"300648011","Female",4,0.2
"2330",78.9,"302136452","Male",2,0.852
"2330",78.9,"302136452","Male",3,-0.192
"2330",78.9,"302136452","Male",4,0.997
"2330",78.9,"302340141","Male",0,-1.541
"2330",78.9,"302340141","Male",1,0.058
"2330",78.9,"302340141","Male",2,1.894
"2330",78.9,"302340141","Male",3,1.839
"2330",78.9,"302340141","Male",4,1.973
"2330",78.9,"307032351","Female",0,-1.76
"2330",78.9,"307032351","Female",1,-0.501
"2330",78.9,"307032351","Female",2,0.343
"2330",78.9,"307169301","Male",0,-0.497
"2330",78.9,"307169301","Male",1,0.905
"2330",78.9,"307169301","Male",2,1.894
"2330",78.9,"307169301","Male",3,1.421
"2330",78.9,"307169301","Male",4,2.3
"2330",78.9,"307176001","Female",0,-1.83
"2330",78.9,"307176001","Female",1,-0.112
"2330",78.9,"307176001","Female",2,0.995
"2330",78.9,"307176001","Female",3,0.811
"2330",78.9,"307176001","Female",4,0.699
"2330",78.9,"308469662","Male",2,1.485
"2330",78.9,"308469662","Male",3,0.751
"2330",78.9,"308469662","Male",4,1.098
"2330",78.9,"311892681","Female",0,-3.558
"2330",78.9,"311892681","Female",1,-1.689
"2330",78.9,"311892681","Female",2,-1.132
"2330",78.9,"311893141","Female",0,-1.616
"2330",78.9,"311893141","Female",1,-0.645
"2330",78.9,"311893141","Female",2,0.003
"2330",78.9,"311899931","Male",0,-2.162
"2330",78.9,"311899931","Male",1,-2.009
"2330",78.9,"311899931","Male",2,1.146
"2330",78.9,"311899931","Male",3,-1.002
"2330",78.9,"311899931","Male",4,-0.225
"2330",78.9,"311903471","Male",0,-2.225
"2330",78.9,"311903471","Male",1,-2.2
"2330",78.9,"311903471","Male",2,-1.34
"2330",78.9,"311903471","Male",3,-1.685
"2330",78.9,"311903471","Male",4,0.148
"2330",78.9,"315190632","Female",1,-0.112
"2330",78.9,"315190632","Female",2,-1.555
"2330",78.9,"315190632","Female",3,-0.086
"2330",78.9,"315190632","Female",4,0.798
"2340",93.7,"179996481","Male",0,-1.83
"2340",93.7,"179996481","Male",1,-1.038
"2340",93.7,"179996481","Male",2,0.114
"2340",93.7,"179996481","Male",3,0.237
"2340",93.7,"179996481","Male",4,1.623
"2340",93.7,"224471221","Female",0,-0.974
"2340",93.7,"224471221","Female",1,-0.988
"2340",93.7,"224471221","Female",2,-0.522
"2340",93.7,"224471221","Female",3,1.001
"2340",93.7,"224471221","Female",4,1.047
"2340",93.7,"224509052","Female",1,-0.351
"2340",93.7,"224509052","Female",2,-0.928
"2340",93.7,"224509052","Female",3,-0.192
"2340",93.7,"224509052","Female",4,1.354
"2340",93.7,"224509131","Female",0,-1.987
"2340",93.7,"224509131","Female",1,-1.378
"2340",93.7,"224509131","Female",2,-0.419
"2340",93.7,"224509131","Female",3,0.292
"2340",93.7,"224509131","Female",4,0.097
"2340",93.7,"224510221","Male",0,-3.082
"2340",93.7,"224510221","Male",1,-0.854
"2340",93.7,"224510221","Male",2,-1.03
"2340",93.7,"224510221","Male",3,-0.725
"2340",93.7,"224510221","Male",4,-0.062
"2340",93.7,"224529321","Male",0,-1.987
"2340",93.7,"224529321","Male",1,-0.221
"2340",93.7,"224529321","Male",2,0.716
"2340",93.7,"224529321","Male",3,0.347
"2340",93.7,"224529321","Male",4,1.199
"2340",93.7,"224530921","Female",0,-3.068
"2340",93.7,"224530921","Female",0,-2.899
"2340",93.7,"224530921","Female",1,-1.004
"2340",93.7,"224530921","Female",2,-2.335
"2340",93.7,"224530921","Female",3,-0.759
"2340",93.7,"224533941","Male",0,-2.558
"2340",93.7,"224533941","Male",0,-1.898
"2340",93.7,"224533941","Male",1,-1.121
"2340",93.7,"224533941","Male",2,-1.424
"2340",93.7,"224533941","Male",3,-1.229
"2340",93.7,"224539201","Female",0,-2.657
"2340",93.7,"224539201","Female",1,-1.882
"2340",93.7,"224539201","Female",2,-1.132
"2340",93.7,"224539201","Female",3,-0.67
"2340",93.7,"224543071","Male",0,-0.942
"2340",93.7,"224543071","Male",1,0.148
"2340",93.7,"224543071","Male",2,0.716
"2340",93.7,"224543071","Male",3,1.346
"2340",93.7,"224543071","Male",4,2.164
"2340",93.7,"224546251","Male",0,-4.055
"2340",93.7,"224546251","Male",1,-2.657
"2340",93.7,"224546251","Male",2,-1.132
"2340",93.7,"224546251","Male",3,-0.403
"2340",93.7,"224546251","Male",4,-0.702
"2340",93.7,"224547141","Male",0,-4.055
"2340",93.7,"224547141","Male",1,-3.082
"2340",93.7,"224547141","Male",2,0.227
"2340",93.7,"224547141","Male",3,-1.685
"2340",93.7,"224547141","Male",4,-0.062
"2340",93.7,"250079212","Female",1,-0.988
"2340",93.7,"250079212","Female",2,-0.826
"2340",93.7,"250079212","Female",3,-0.403
"2340",93.7,"250079212","Female",4,-0.225
"2340",93.7,"256751421","Female",0,-2.902
"2340",93.7,"256751421","Female",0,-1.987
"2340",93.7,"256751421","Female",1,-1.541
"2340",93.7,"256751421","Female",2,-0.725
"2340",93.7,"276859192","Male",1,-1.993
"2340",93.7,"276859192","Male",2,-1.732
"2340",93.7,"276859192","Male",3,-1.107
"2340",93.7,"280809991","Female",0,-2.558
"2340",93.7,"280809991","Female",0,-1.772
"2340",93.7,"280809991","Female",1,-1.13
"2340",93.7,"280809991","Female",2,-2.551
"2340",93.7,"280809991","Female",3,-0.35
"2340",93.7,"281403122","Male",1,-1.378
"2340",93.7,"281403122","Male",2,-1.34
"2340",93.7,"281403122","Male",3,-0.297
"2340",93.7,"283490171","Male",0,-2.413
"2340",93.7,"283490171","Male",2,0.343
"2340",93.7,"283645042","Male",1,-2.657
"2340",93.7,"283645042","Male",2,-1.236
"2340",93.7,"283645042","Male",3,-0.297
"2340",93.7,"283645042","Male",4,0.251
"2340",93.7,"285389011","Female",0,-3.232
"2340",93.7,"285389011","Female",0,-2.351
"2340",93.7,"285389011","Female",1,-1.541
"2340",93.7,"285389011","Female",2,-1.34
"2340",93.7,"285586512","Female",2,-0.826
"2340",93.7,"285586512","Female",3,-0.456
"2340",93.7,"285586512","Female",4,-0.062
"2340",93.7,"286939581","Female",0,-3.068
"2340",93.7,"286939581","Female",1,-1.76
"2340",93.7,"286939581","Female",2,0.003
"2340",93.7,"286939581","Female",3,-1.176
"2340",93.7,"286939581","Female",4,0.501
"2340",93.7,"287961612","Male",2,-0.522
"2340",93.7,"287961612","Male",4,0.897
"2340",93.7,"288448161","Male",0,-3.021
"2340",93.7,"288448161","Male",1,-1.464
"2340",93.7,"288448161","Male",2,0.227
"2340",93.7,"291303882","Female",0,-2.899
"2340",93.7,"291303882","Female",1,-1.054
"2340",93.7,"291303882","Female",2,-0.826
"2340",93.7,"291303882","Female",3,0.074
"2340",93.7,"291303882","Female",4,0.044
"2340",93.7,"291715642","Female",2,-0.725
"2340",93.7,"291715642","Female",3,0.403
"2340",93.7,"291715642","Female",4,0.897
"2340",93.7,"300735251","Male",0,-2.351
"2340",93.7,"300735251","Male",1,-0.942
"2340",93.7,"300735251","Male",2,-1.555
"2340",93.7,"300735251","Male",3,-0.563
"2340",93.7,"300735251","Male",4,0.997
